                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7669,                 7.8819,                 2.9916,                 3.5241,                0.64941,                 0.3053,                0.30778,                0.10923,                0.60848,                0.25156,                0.22186,                0.06701,                 2.4802,                 4.8849,                 1.9187,                 2.5997,             0.00041403,             0.00041403,             0.00041403
                      2,                 2.1255,                 1.9617,                 1.5945,                 2.2717,                0.67987,                0.71419,                0.75729,                0.30434,                0.76299,                0.72528,                0.82092,                 0.3736,                 1.8686,                 1.6259,                 1.2383,                 1.8968,             0.00082652,             0.00082652,             0.00082652
                      3,                 1.7563,                 1.5698,                 1.1659,                 1.8527,                 0.6273,                0.76574,                0.74998,                0.36771,                0.62649,                0.79317,                0.77119,                0.38437,                 1.5812,                 1.4111,                 1.0797,                 1.6093,              0.0012322,              0.0012322,              0.0012322
                      4,                 1.5754,                 1.4502,                 1.0269,                 1.6622,                0.70319,                0.79091,                0.79672,                0.43002,                0.68822,                 0.7795,                0.77733,                0.40667,                 1.4384,                 1.2438,                0.93726,                 1.4935,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.4642,                 1.3606,                0.93456,                 1.5543,                0.81468,                 0.8462,                0.85905,                0.44433,                0.81529,                0.86198,                0.86839,                0.44428,                 1.3729,                 1.2723,                0.87687,                 1.3855,               0.001217,               0.001217,               0.001217
                      6,                 1.3722,                 1.3207,                0.87122,                 1.4739,                 0.7598,                0.83849,                0.84973,                0.47446,                0.74419,                0.82511,                0.82306,                0.44255,                 1.2923,                 1.2598,                0.84619,                 1.3455,              0.0012087,              0.0012087,              0.0012087
                      7,                  1.336,                 1.2897,                0.85448,                 1.4389,                  0.824,                0.83533,                0.85064,                0.48101,                0.79415,                0.79723,                0.81658,                0.44502,                  1.187,                 1.1325,                0.84554,                  1.288,              0.0012005,              0.0012005,              0.0012005
                      8,                  1.285,                 1.2566,                0.81033,                 1.3933,                0.88115,                0.85776,                0.87767,                0.50703,                0.89092,                0.88178,                0.89539,                0.51904,                   1.21,                 1.1387,                0.78779,                 1.2623,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.2412,                 1.2191,                 0.7922,                 1.3613,                0.81638,                0.83062,                0.85471,                0.52467,                0.82832,                0.84866,                0.85088,                0.49317,                 1.0826,                 1.0942,                0.74824,                 1.2077,               0.001184,               0.001184,               0.001184
                     10,                 1.2045,                 1.2009,                0.77038,                 1.3337,                0.82592,                0.83517,                0.86525,                0.51593,                0.84772,                0.88231,                0.88508,                 0.5342,                 1.2574,                 1.1072,                0.75414,                 1.2991,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.1913,                 1.1707,                0.75387,                 1.3183,                0.84974,                0.86404,                0.87959,                0.53482,                0.84841,                0.87934,                0.88948,                0.50993,                 1.0854,                  1.119,                0.69909,                 1.2012,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.1661,                 1.1723,                0.74387,                 1.2945,                0.82064,                0.87161,                 0.8776,                0.54474,                0.82394,                0.87757,                0.86966,                0.50259,                 1.0455,                  1.084,                0.71221,                 1.1705,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.1467,                  1.136,                0.72602,                 1.2837,                0.81677,                0.83352,                0.86329,                0.55432,                0.78341,                 0.8195,                0.82658,                0.47956,                 1.0379,                  1.015,                0.71045,                 1.1585,               0.001151,               0.001151,               0.001151
                     14,                 1.1327,                 1.1249,                0.72517,                 1.2772,                0.85396,                0.87618,                 0.9034,                0.55687,                 0.8205,                0.84716,                0.86009,                0.48924,                 1.0499,                 1.0412,                0.72791,                 1.1633,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.0953,                 1.0974,                0.69782,                 1.2509,                0.81745,                0.86763,                0.88054,                0.54675,                0.79042,                0.85968,                 0.8429,                0.48891,                 1.0792,                0.99842,                0.69261,                  1.187,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.0728,                 1.0863,                0.69672,                 1.2355,                0.80548,                0.89421,                 0.8924,                0.58091,                0.79146,                0.87702,                 0.8676,                0.52252,                0.98117,                 1.0022,                0.66459,                 1.1263,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0714,                 1.0939,                0.67961,                  1.234,                0.81561,                0.87296,                0.87712,                0.57175,                0.82525,                0.88473,                0.88021,                0.52549,                0.98328,                 1.0973,                0.69775,                 1.1309,               0.001118,               0.001118,               0.001118
                     18,                 1.0594,                 1.0701,                0.68422,                 1.2261,                0.80347,                0.87451,                 0.8889,                0.58025,                0.80666,                 0.8821,                0.90046,                0.55146,                0.96005,                0.96477,                0.68206,                  1.124,              0.0011098,              0.0011098,              0.0011098
